DRG_DESC,STATE_DESC,DISCHARGES,AVERAGE_COVERED_CHARGES,AVERAGE_MEDICARE_PAYMENTS,AVERAGE_MEDICARE_REIMBURSEMENT
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,TX,12,571065.5,127388.0833,96864.75
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,FL,13,599375.0769,155446.4615,114474.3077
002 - HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W/O MCC,PA,18,885391.9444,206484.8889,119743.8333
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AK,18,568541.3889,150176.1111,148570.2222
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SD,24,457901.5833,130678,117818.8333
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",RI,29,447335.5172,159261.1724,148286.5517
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MT,35,348915.7143,121228.5429,109999.0857
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",HI,36,879269.8611,315562.3056,242626.6389
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ID,42,403659.0238,109476.4048,103868.6429
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ME,44,520771.5682,181481.8182,152567.3409
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NH,45,684404.2,189627.5333,177696.7778
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",ND,59,305076.7288,112615.8644,107887.1864
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NM,67,437158.1045,114318.0448,109846.7015
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DE,77,306549.5584,130745.8961,123104.9481
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",UT,89,348559.9888,133560.2247,124230.8652
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OR,91,557757.033,188301.1539,175249.8791
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IA,95,431734.0316,121066.9474,109059.3684
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NE,104,374025.0289,114954.0289,108041.8269
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WV,111,373347.6487,118514.973,111094.9369
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KS,114,510890.6754,108853.2456,94182.37719
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CT,135,554711.1926,172151.2889,157343.0074
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",DC,139,687477.4389,173077.3885,147954.518
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MS,146,429159.3151,99184.84247,91767.15753
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WA,160,604214.1,160135.125,146659.4688
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",LA,197,494810.8376,119184.1066,105811.9239
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NV,205,905517.4293,126371.5463,116665.1756
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",WI,206,466784.1117,143431.5146,124930.4952
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AR,217,340372.2811,92016.95853,81069.92166
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CO,220,738591.3727,141183.6909,126848.1864
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OK,230,663422.0739,135731.7522,115674.0957
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MD,255,176781.8275,163319.3098,155269.0863
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",KY,256,482794.4531,130914.3398,114489.5156
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AZ,269,595068.8848,136052.6357,120663.2342
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",AL,288,595014.1285,120358.6979,107269.6806
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",SC,306,523592.5948,131945.9281,110662.4412
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MN,335,496660.6149,185666.7194,159352.606
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MA,351,582220.8006,196966.4786,183825.0969
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IN,355,547306.3042,127688.062,118978.7634
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",VA,395,611912.0203,166856.0962,134120.643
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TN,426,465115.946,108280.5986,100708.0258
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MO,454,494665.326,135768.6322,123546.9141
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NJ,485,756278.6845,147886.4845,128443.3361
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NC,516,476298.0988,147795.9302,127532.2074
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",GA,524,629522.6393,140246.1431,120403.126
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",IL,570,583859.0895,151359.6333,131970.5526
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",MI,600,379058.275,135626.665,123023.455
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",OH,645,529417.0605,133846.569,115929.9519
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",PA,948,911537.5517,158340.6888,132437.3587
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",TX,1192,671690.0344,133518.6468,117126.6594
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",FL,1196,699410.9156,126468.8796,113182.6204
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",NY,1211,776810.9455,200390.9736,176276.4178
"003 - ""ECMO OR TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",CA,1365,1211685.773,227094.5033,205517.1524
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SD,12,292832.1667,76793.08333,74457.83333
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AK,16,468852.625,131968.3125,103829.5625
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MT,17,175255.9412,72429.94118,59264.82353
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",RI,22,314465.5,96970.45455,88412.63636
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",HI,24,369149.3333,209585.75,92740.75
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ME,25,375207.8,127410.8,110554.04
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ID,30,329426,83222.83333,81854.86667
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",ND,34,269833.7941,90105.61765,72076.85294
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NH,40,312353.325,118914.275,86535.95
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",UT,45,243685.8889,80011.15556,68337.04444
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OR,50,308260.38,112474.2,92446.26
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DE,54,223665.9815,83937.51852,79528.96296
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NM,65,259345.8154,76538.69231,71180.09231
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KS,79,315526.2152,64094.51899,62037.88608
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NE,79,256218.5949,77962.83544,64677.68354
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IA,83,246338.988,68444.62651,62994.73494
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",DC,84,437769.2262,116232.8214,91854.86905
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WV,95,194078.0947,70957.81053,59479.32632
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CO,106,419240.3396,80554.95283,70938.01887
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CT,123,388056.5203,114662.187,97595.87805
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MN,134,291393.2015,96054.60448,84534.20149
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AR,135,205314.2741,53472.14074,46546.28148
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WA,144,351577.0764,88689.54861,82858.48611
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",WI,161,242995.205,78101.78261,68533.93789
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MS,197,260100.8528,59401.92893,56176.4467
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NV,199,618023.6985,80000.34171,71445.27638
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OK,208,360894.3894,69631.8125,62971.21635
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",LA,213,272282.8498,66932.86855,58866.87793
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",SC,220,295058.8455,71114.54091,62172.31364
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AZ,232,327793.1164,73046.39224,66146.81466
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",AL,257,351170.5525,68908.63813,59273.70428
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",KY,275,248426.5855,69205.00364,60476.29455
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MA,281,269438.7153,109875.968,97892.10676
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IN,287,242954.7108,65997.12892,62208.7561
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MD,288,117277.9583,108122.3646,105816.6667
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MO,300,286865.1,73324.82,69233.99667
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",VA,310,339509.0032,87937.09355,72253.30968
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NC,370,223039.1324,75028.63514,65644.92162
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TN,387,243105.2972,62514.37726,54976.04134
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",GA,425,309189.8282,75127.15294,68849.16471
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",IL,544,288631.0809,76463.24081,69096.90625
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",OH,550,271117.1709,71605.09455,64359.74182
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NJ,554,475754.1607,84935.84296,76474.76895
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",PA,564,431324.6064,83538.84929,71666.38298
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",MI,592,233674.1807,81784.83784,71561.40878
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",FL,942,391890.1529,68791.66667,61326.23885
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",NY,1094,421494.4077,119017.1782,105622.9305
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",TX,1118,382629.559,69991.06977,61657.11628
"004 - TRACH W MV >96 HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",CA,1291,681661.2758,119718.9218,109541.2277
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OK,11,603459.1818,71995.45455,67493.18182
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CT,12,393691.5,129341.75,85442
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CO,13,756419.0769,108569.9231,99084.30769
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,DC,14,768943.3571,129688.4286,108933.0714
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KY,14,441745.2857,74760.5,70668.64286
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NE,14,496069.5,86865.57143,82802.78571
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,KS,16,579003.0625,112011.1875,64162.25
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,UT,16,427536.9375,109506.5,93664.1875
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,SC,17,443569.9412,189541.9412,85226.88235
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AL,18,382773.2778,86023.38889,60494.66667
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WA,20,561403.4,199584.9,95295.75
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IN,21,814570.6667,132656.6667,121304.9048
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,VA,21,580202.0952,141349.8571,96331.04762
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MI,25,366505.64,96528.04,76322.16
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,LA,28,502227.4643,115224.4286,70581.60714
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NC,29,426612.2069,94762.7931,85941.89655
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TN,34,351271.7353,75769.94118,68119.20588
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MD,36,181588.0278,167313.6944,165567.5833
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,IL,40,627959.975,132019.9,110616.275
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MN,40,413434.7,130218.1,94007.675
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,WI,41,668273.8293,163261.4634,118995.4878
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,GA,44,503335.2727,91728.47727,79545.88636
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,AZ,47,471445.2766,112670.9149,79741.65957
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MO,48,332302.6875,90256.58333,85215.58333
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,OH,57,449900.6667,102612.8246,72796.1579
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,MA,61,435496.7705,117174.0656,104668.8361
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,PA,64,709350.8438,109284.1094,92399.04688
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,NY,71,665185.5352,134260.662,125243.1972
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,FL,92,478281.7391,104320.2717,79059.82609
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,TX,106,618843.0377,103431.5755,83975.26415
005 - LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,CA,150,1079539.413,202795.64,169417.8
006 - LIVER TRANSPLANT W/O MCC,MO,11,200531.2727,33894.09091,32107.45455
006 - LIVER TRANSPLANT W/O MCC,AL,13,275652.8462,40097.76923,22329.38462
006 - LIVER TRANSPLANT W/O MCC,AZ,14,335594.2143,49937.07143,28987.71429
006 - LIVER TRANSPLANT W/O MCC,IN,15,396221.4,47687.8,43660.4
006 - LIVER TRANSPLANT W/O MCC,KS,15,338138.8,61476.53333,23369.86667
006 - LIVER TRANSPLANT W/O MCC,MA,15,307850.6,69922.4,40100.66667
006 - LIVER TRANSPLANT W/O MCC,MI,16,266270,51606.25,35912.5625
006 - LIVER TRANSPLANT W/O MCC,NC,16,279851.25,39454.5,34704.9375
006 - LIVER TRANSPLANT W/O MCC,LA,17,256728.2353,35697.29412,30374.23529
006 - LIVER TRANSPLANT W/O MCC,VA,18,313808.2778,63576.33333,34997.05556
006 - LIVER TRANSPLANT W/O MCC,TN,19,257075.8947,32188.42105,29404
006 - LIVER TRANSPLANT W/O MCC,GA,20,300808.3,61229.95,26211.3
006 - LIVER TRANSPLANT W/O MCC,OH,20,338014.15,58992,31924.1
006 - LIVER TRANSPLANT W/O MCC,IL,21,372169.6191,51699.66667,41145.85714
006 - LIVER TRANSPLANT W/O MCC,CA,22,578349.4546,74154.59091,49094.36364
006 - LIVER TRANSPLANT W/O MCC,NY,22,445784.9546,57329.90909,52947.45455
006 - LIVER TRANSPLANT W/O MCC,MD,24,134536.25,124447.25,117821.5
006 - LIVER TRANSPLANT W/O MCC,FL,31,277638.4839,34766.74194,30511.12903
006 - LIVER TRANSPLANT W/O MCC,TX,48,284563.2292,45991.0625,31412.4375
006 - LIVER TRANSPLANT W/O MCC,PA,50,473304.92,78455.9,34959.8
007 - LUNG TRANSPLANT,KY,11,569986,106830.5455,94682
007 - LUNG TRANSPLANT,NY,11,817658.5455,210822.0909,124381.3636
007 - LUNG TRANSPLANT,WA,11,517120.8182,115074.1818,104203.1818
007 - LUNG TRANSPLANT,MN,13,498850.2308,100748.8462,92435.07692
007 - LUNG TRANSPLANT,WI,15,572316.6,203213.9333,75700.53333
007 - LUNG TRANSPLANT,OK,17,426980.5882,61879,58187.23529
007 - LUNG TRANSPLANT,MD,18,199882.9444,185038.8889,173076.6667
007 - LUNG TRANSPLANT,VA,18,619478.1667,146152.8889,91586.05556
007 - LUNG TRANSPLANT,FL,22,666998.9546,114219.2273,85289
007 - LUNG TRANSPLANT,MI,23,435785.6522,101687.4783,83734.78261
007 - LUNG TRANSPLANT,IL,25,663074.24,185135.24,94845.6
007 - LUNG TRANSPLANT,MO,26,341635.2692,86979.84615,85295.30769
007 - LUNG TRANSPLANT,MA,28,603836.2143,115483.3214,109772.9286
007 - LUNG TRANSPLANT,NC,35,642452.4857,103393.0286,84585
007 - LUNG TRANSPLANT,AZ,39,584405.8462,83386.74359,76587.94872
007 - LUNG TRANSPLANT,CA,40,989415.95,148522.575,130078.9
007 - LUNG TRANSPLANT,OH,42,510676.0952,103071.3095,79156.66667
007 - LUNG TRANSPLANT,TX,57,617812.4737,121091.386,89072.70175
007 - LUNG TRANSPLANT,PA,73,1100166.069,129185.2192,89022.0548
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MO,12,471357.1667,39112.5,36794.25
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,VA,14,398517.5,92494.42857,41533.64286
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,WA,14,379605.0714,70467.92857,35178.14286
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,LA,15,405520.9333,41078.93333,30095.53333
008 - SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,MD,15,177833.5333,164312.6,150334.1333
