Feature,Importance,Model,QualityStarCluster
inpat_charges_phys_therapy,0.0076744560663825935,GBT,All
inpat_length_of_stay,0.008358203518156,GBT,All
inpat_totcosts_devices_chgd,0.0005595078051352262,GBT,All
inpat_totcosts_medsupps_chgd,0.002126964138784546,GBT,All
internres_per_bed,0.0005180337891836853,GBT,All
ipps_hosp_pos_Y,0.0031526706822721366,GBT,All
major_teaching,0.0,GBT,All
mdcd_inpat_days,0.010375414531505233,GBT,All
mdcdinclHMO_inpat_disch_share,0.0062362517696156585,GBT,All
mdcr_adv_rev_est,0.0024127546275449097,GBT,All
mdcr_hmo_inpat_days,0.007269242792963393,GBT,All
mdcr_inpat_charges,0.0024384428342788477,GBT,All
mdcr_inpat_charges_adpeds,0.005125857203891258,GBT,All
mdcr_inpat_charges_anc_outp_oth,0.0005108116132672936,GBT,All
mdcr_inpat_costs_per_day,0.009720296633536175,GBT,All
mdcr_inpat_day_share,0.009149430582674783,GBT,All
mdcr_inpat_margin,0.02271715289563645,GBT,All
mdcr_ipps_SCHMDH_addl_pymts,0.004884920954258695,GBT,All
mdcr_margin,0.03703728414997566,GBT,All
mdcr_outpat_charges,0.0019051136062513427,GBT,All
mdcr_outpat_costs,0.00172131098501695,GBT,All
mdcr_outpat_margin,0.026239412439100104,GBT,All
net_expenses_anc_dvc_chgd_only10,0.002557071789457333,GBT,All
net_expenses_anc_medsupps_chgd,0.0026077445514065497,GBT,All
net_expenses_anc_radiology_diag,0.0015124743793142644,GBT,All
net_expenses_cap_bldgs_fixtures,0.010436134664960284,GBT,All
net_expenses_cap_movable_equip,0.010145276892273217,GBT,All
nonmdcrmdcd_inpat_day_share,0.0038650795194023952,GBT,All
occupancy,0.005041395208155368,GBT,All
operating_margin,0.007160497734327849,GBT,All
outpat_charges_emergency,0.036391190346980795,GBT,All
outpat_charges_medsupps_chgd,0.007457106278405049,GBT,All
outpat_charges_oper_room,0.00487948823191949,GBT,All
outpat_charges_subtotal,0.012128202247156272,GBT,All
outpat_charges_total,0.003995131805416739,GBT,All
outpat_totcosts_drgs_chgd,0.003458927739048097,GBT,All
outpat_totcosts_medsupps_chgd,0.007503010732748449,GBT,All
outpat_totcosts_radiology_diag,0.0036383834537797705,GBT,All
ownership_forprofit,0.0,GBT,All
ownership_nonprofit,0.00023982615252544218,GBT,All
receives_dsh_only10_Y,0.0014793586350770882,GBT,All
rural_urban_3.0,0.00027479763689325154,GBT,All
rural_urban_4.0,0.0,GBT,All
rural_urban_5.0,0.0,GBT,All
rural_urban_6.0,0.0,GBT,All
rural_urban_7.0,0.0,GBT,All
rural_urban_9.0,0.0,GBT,All
teach_hosp_hcr_Y,0.0,GBT,All
teach_hosp_nurs_alld_hcr_only10_Y,0.0,GBT,All
tot_adult_peds_beds,0.007086164597947808,GBT,All
tot_expenses_admin_and_general,0.014346244243929466,GBT,All
tot_fixed_assets_genfund,0.0007005281531298958,GBT,All
tot_fundbal_genfund,0.004792474544480968,GBT,All
total_fixed_assets,0.001296701993380889,GBT,All
total_fund_balances,0.00470758352959918,GBT,All
total_margin,0.010856205104150576,GBT,All
total_uncomp_expnsshr_only10,0.024821871378340826,GBT,All
totcosts_devices_chgd,0.0004561867756149639,GBT,All
totcosts_drgs_chgd,0.001706555584494465,GBT,All
totcosts_medsupps_chgd,0.006279420689296962,GBT,All
totcosts_phys_therapy,0.006000479213642502,GBT,All
totcosts_radiology_diag,0.009323383873805652,GBT,All
unreimb_uncomp_costs_only10,0.012302181372308289,GBT,All
tot_expenses_admin_and_general,-0.0024000233096532113,Lasso,All
capasset_bldngsfixtrs_end10only,-0.012969006620966325,Lasso,All
capasset_subtotal_end10only,-0.011351727390348097,Lasso,All
capasset_total_end10only,-0.009862158786457097,Lasso,All
net_expenses_anc_dvc_chgd_only10,0.03669036438681079,Lasso,All
totcosts_devices_chgd,0.006314049176765567,Lasso,All
inpat_charges_devices_chgd,0.009658833432125985,Lasso,All
outpat_charges_total,-0.019425368132111938,Lasso,All
unreimb_uncomp_costs_only10,-0.04114397695007395,Lasso,All
chgs_charity_patients_only10,-7.292334417306355e-06,Lasso,All
expns_anc_oper_room_salary,0.023347472613639023,Lasso,All
expns_anc_resp_therapy_salary,0.023744522831680624,Lasso,All
expns_outp_emergency_salary,0.0025791384926930876,Lasso,All
expns_admin_and_general_other,-0.013833513319768957,Lasso,All
expns_housekeeping_other,0.0024986287129263813,Lasso,All
capasset_bldngsfixtrs_beginning,-0.013933693517808711,Lasso,All
capasset_subtotal_beginning,-0.009558958857700499,Lasso,All
capasset_total_beginning,-0.007824722496550222,Lasso,All
net_expenses_cap_bldgs_fixtures,-5.197495496393057e-10,Lasso,All
net_expenses_cap_movable_equip,-0.039093469369510525,Lasso,All
net_expenses_anc_radiology_diag,-0.0027214779108888027,Lasso,All
net_expenses_anc_medsupps_chgd,0.009741154478129729,Lasso,All
totcosts_radiology_diag,-0.00040375804908864075,Lasso,All
totcosts_phys_therapy,-0.0015069554487734847,Lasso,All
totcosts_medsupps_chgd,0.0021633631435596466,Lasso,All
totcosts_drgs_chgd,-0.009768821456471528,Lasso,All
inpat_charges_oper_room,-0.01756639955561735,Lasso,All
inpat_charges_lab,-0.03641190393026494,Lasso,All
inpat_charges_phys_therapy,-0.00663332555899797,Lasso,All
outpat_charges_oper_room,-0.004403081453166756,Lasso,All
outpat_charges_medsupps_chgd,0.02538208787943683,Lasso,All
outpat_charges_emergency,-0.009420267308262436,Lasso,All
outpat_charges_subtotal,-0.015740322874046538,Lasso,All
mdcr_outpat_charges,-0.061952825681185965,Lasso,All
mdcr_outpat_costs,-0.002327259886209667,Lasso,All
mdcr_inpat_charges_adpeds,-0.0004901139052039601,Lasso,All
mdcr_inpat_charges_anc_outp_oth,-0.036824777006439297,Lasso,All
gross_patient_rev_outpat,-0.0031124146503220948,Lasso,All
gross_patient_rev,-0.005494067103461982,Lasso,All
allowances_discounts,-0.005576795269749437,Lasso,All
mdcr_hmo_inpat_days,0.05067810446051326,Lasso,All
mdcd_inpat_days,0.015072685821191784,Lasso,All
accounts_receivable,-0.021489432513697327,Lasso,All
tot_fixed_assets_genfund,-0.006429668847206131,Lasso,All
tot_fundbal_genfund,-0.007796357268560099,Lasso,All
cost_to_charge_ratio_for_uncomp,0.07811582147202367,Lasso,All
adult_peds_beds,0.0026419158587214775,Lasso,All
tot_adult_peds_beds,0.0026419158587214775,Lasso,All
ownership_nonprofit,-0.047559510224675944,Lasso,All
ownership_forprofit,0.0625856717718442,Lasso,All
chow_cnt,-0.051523451215595616,Lasso,All
cbsa_ind,-0.1370143867988507,Lasso,All
in_compendium,-0.014315166367476895,Lasso,All
total_fund_balances,-0.0008933445487956499,Lasso,All
total_fixed_assets,-0.0021781311292128408,Lasso,All
days_in_net_accounts_receivable,-0.003028328223969796,Lasso,All
days_in_gross_accounts_recvable,-0.03859791873959638,Lasso,All
equity_financing,-0.06342789479521999,Lasso,All
mdcr_inpat_charges,-0.03147718219259457,Lasso,All
mdcr_inpat_costs_per_day,0.11683199051337012,Lasso,All
total_margin,-0.04356001076141514,Lasso,All
occupancy,-0.1131210079966749,Lasso,All
operating_margin,-0.07284434402169322,Lasso,All
mdcr_inpat_margin,0.14948875904546122,Lasso,All
mdcr_outpat_margin,0.05582256539973715,Lasso,All
mdcr_margin,0.22837951655458513,Lasso,All
mdcr_inpat_day_share,-0.03622912134568663,Lasso,All
nonmdcrmdcd_inpat_day_share,0.012180888395234245,Lasso,All
inpat_totcosts_medsupps_chgd,1.5142672256318648e-08,Lasso,All
inpat_totcosts_devices_chgd,0.014834075442289941,Lasso,All
outpat_totcosts_radiology_diag,-0.00827479405501031,Lasso,All
outpat_totcosts_medsupps_chgd,0.0026715137544726236,Lasso,All
outpat_totcosts_drgs_chgd,-0.013147008833257258,Lasso,All
internres_per_bed,0.02890709369579739,Lasso,All
major_teaching,0.05158214956884759,Lasso,All
inpat_length_of_stay,0.0417038403435375,Lasso,All
admin_costs,-0.008873607552243088,Lasso,All
admin_cost_share,-0.0512585968676886,Lasso,All
expenses_other,-0.0001335050942706119,Lasso,All
mdcr_adv_rev_est,0.010859147897541633,Lasso,All
commercial_rev_est,-0.04131532029628837,Lasso,All
commercial_charges_est,-0.001069824299935094,Lasso,All
commercial_to_mdcr_est,-0.23764525699175842,Lasso,All
total_uncomp_expnsshr_only10,-0.12837074698851508,Lasso,All
charityun_uncomp_expnsshr_only10,-0.044711051392565475,Lasso,All
charity_uncomp_expnsshr_only10,-0.14562852370275467,Lasso,All
mdcr_ipps_SCHMDH_addl_pymts,-0.029088038267804088,Lasso,All
mdcdinclHMO_inpat_disch_share,-0.06675568654396605,Lasso,All
MEDICARE_PAYMENTS_STATE_SCORE_DRG871,0.012483843018605724,Lasso,All
MEDICARE_REIMBURSEMENT_STATE_SCORE_DRG871,0.030128642547345704,Lasso,All
COVERED_CHARGES_NATIONAL_SCORE_DRG871,-0.027794198171457837,Lasso,All
MEDICARE_REIMBURSEMENT_NATIONAL_SCORE_DRG871,0.020347132437771046,Lasso,All
COVERED_CHARGES_NATIONAL_SCORE_DRG291,-0.07613656786326742,Lasso,All
OPPS_Beneficiaries_Perc,0.05556852582080272,Lasso,All
OPPS_Comprehensive_APC_Services_Perc,0.04946999846874731,Lasso,All
OPPS_Medicare_Allowed_Amount_STATE_SCORE,-0.02309237742053519,Lasso,All
OPPS_Medicare_Payment_Amount_STATE_SCORE,-0.02871807628712688,Lasso,All
OPPS_Total_Submitted_Charges_NATIONAL_SCORE,-0.17140758317165986,Lasso,All
any_home_office_costs_Y,-0.06667970405877326,Lasso,All
critical_access_hosp_hcr_Y,0.1452733152353191,Lasso,All
teach_hosp_hcr_Y,0.008461364216279276,Lasso,All
receives_dsh_only10_Y,-0.1679615221292185,Lasso,All
teach_hosp_nurs_alld_hcr_only10_Y,-0.018670566578815724,Lasso,All
ipps_hosp_pos_Y,-0.14527331523531936,Lasso,All
rural_urban_3.0,-0.051203090055430674,Lasso,All
rural_urban_4.0,-0.03239566247097478,Lasso,All
rural_urban_5.0,-0.05539928007600452,Lasso,All
rural_urban_6.0,-0.04291170054659547,Lasso,All
rural_urban_7.0,-0.015504387978235144,Lasso,All
rural_urban_9.0,0.05000692592110293,Lasso,All
